 82 CH1.txt[]
 35 CH2.txt[]
 53 CH3.txt[]
 93 CH4.txt[]
 120 CH5.txt[]
 85 CH6.txt[]
rock 1 CH5.txt[616]
rock 1 CH6.txt[6296]
rolls 1 CH3.txt[3676]
rolls 1 CH5.txt[2646]
roots 1 CH5.txt[4947]
rose 1 CH1.txt[4398]
rose 1 CH2.txt[32]
rose 1 CH5.txt[6649]
rotted 1 CH5.txt[4933]
round 1 CH2.txt[563]
round 3 CH3.txt[2018,2020,2762]
round 2 CH5.txt[3530,5741]
round 6 CH6.txt[977,1373,4926,5512,5514,6045]
row 1 CH5.txt[703]
rubeus 1 CH4.txt[491]
rubeus 2 CH5.txt[5584,5585]
rubies 1 CH5.txt[2961]
rules 1 CH5.txt[4648]
run 1 CH2.txt[3097]
run 1 CH3.txt[2642]
run 2 CH5.txt[509,3763]
run 2 CH6.txt[1354,1431]
rushed 1 CH2.txt[3358]
rushed 2 CH5.txt[1873,3218]
rustling 1 CH5.txt[5108]
safe 1 CH4.txt[2235]
safe 3 CH5.txt[556,2911,3487]
safe 1 CH6.txt[2198]
safest 1 CH5.txt[545]
said 32 CH1.txt[519,1227,1390,1583,1753,1832,1852,1873,2608,2643,2722,2737,2831,2865,2970,2998,3047,3237,3349,3425,3443,3556,3649,3716,3773,3785,3952,3970,4073,4333,4353,4416]
said 23 CH2.txt[300,647,794,805,845,881,922,957,968,1067,1165,1336,1351,1475,1595,1635,2055,2068,2115,2127,2666,2810,2918]
said 23 CH3.txt[239,269,407,424,534,543,681,967,1008,1165,1172,1351,1422,1446,1459,1538,2333,2675,3028,3287,3343,3394,3516]
said 43 CH4.txt[16,222,244,277,309,322,380,477,518,678,707,770,803,828,835,974,990,1045,1091,1178,1205,1237,1429,1568,1590,1605,1608,1613,1657,1671,1865,1946,2047,2389,2627,2764,2809,3101,3251,3557,3611,3722,3754]
said 84 CH5.txt[234,296,403,440,663,705,737,781,907,1072,1095,1197,1417,1482,1627,1814,1830,1989,2057,2417,2474,2485,2657,2691,2807,2816,2895,2921,2969,3001,3027,3089,3303,3510,3580,3617,3636,3743,3817,3878,3954,3960,3977,4039,4047,4087,4130,4147,4177,4191,4208,4262,4267,4285,4302,4392,4424,4449,4486,4509,4524,4674,4681,4712,4854,5147,5325,5372,5377,5539,5605,5623,5634,5653,5660,5676,5715,5748,5840,6126,6377,6409,6444,6594]
said 91 CH6.txt[348,396,411,702,823,1042,1146,1152,1174,1241,1249,1284,1307,1316,1367,1499,1783,1795,1807,1816,1827,1836,1964,1971,1975,2021,2040,2054,2071,2089,2100,2109,2203,2405,2630,2653,2690,2724,2732,2748,2802,2855,2883,3055,3146,3149,3152,3178,3299,3456,3490,3505,3521,3542,3611,3700,3710,3817,3858,4138,4166,4169,4187,4229,4332,4358,4428,4522,4559,4564,4608,4627,4711,4745,4797,4820,4864,5138,5157,5194,5319,5344,5403,5419,5564,5588,5629,5647,5727,5760,6267]
same 3 CH1.txt[1131,1379,1384]
same 3 CH2.txt[35,61,283]
same 3 CH3.txt[988,2692,3101]
same 2 CH4.txt[1823,2854]
same 4 CH5.txt[2308,4345,5780,5792]
same 2 CH6.txt[28,5354]
sat 4 CH1.txt[589,754,1659,2487]
sat 2 CH2.txt[973,2863]
sat 6 CH3.txt[590,931,1612,1703,2540,3860]
sat 5 CH4.txt[213,403,606,1542,2035]
sat 6 CH5.txt[104,343,837,1167,5255,6385]
sat 4 CH6.txt[1889,2573,2751,4384]
sausage 1 CH4.txt[676]
sausage 2 CH5.txt[483,517]
savage 1 CH5.txt[4228]
savaging 1 CH5.txt[230]
saw 3 CH1.txt[629,1348,3530]
saw 1 CH2.txt[2834]
saw 1 CH3.txt[865]
saw 7 CH4.txt[257,270,1160,1740,2566,3242,3504]
saw 4 CH5.txt[2439,3231,4562,4581]
saw 8 CH6.txt[538,718,1509,2316,2459,2592,3796,5880]
say 7 CH1.txt[16,218,986,1708,1886,2883,4146]
say 3 CH2.txt[334,3042,3077]
say 7 CH4.txt[460,525,1256,1793,2154,2884,2903]
say 12 CH5.txt[492,790,1085,1094,1895,2285,2602,4076,4135,4142,5469,5530]
say 5 CH6.txt[338,2904,3982,4767,5399]
sayin 1 CH4.txt[2079]
sayin 1 CH5.txt[4833]
saying 10 CH1.txt[952,2951,2963,3063,3131,3159,3251,3278,3777,4651]
saying 1 CH2.txt[2940]
saying 1 CH3.txt[1282]
saying 4 CH5.txt[1060,1804,2546,2568]
saying 8 CH6.txt[967,1036,1621,1911,2067,3175,4993,5140]
says 3 CH5.txt[4060,4660,4889]
says 3 CH6.txt[4916,5657,5702]
scales 3 CH5.txt[1377,2858,4901]
scamander 1 CH5.txt[1345]
scar 1 CH1.txt[4078]
scar 2 CH2.txt[597,1719]
scar 2 CH5.txt[5518,6194]
scar 3 CH6.txt[1805,2318,2715]
scared 2 CH4.txt[2098,3135]
scared 2 CH5.txt[2310,2314]
scared 3 CH6.txt[20,1338,4941]
scarlet 1 CH5.txt[2682]
scarlet 1 CH6.txt[1484]
scattering 1 CH5.txt[2933]
school 5 CH2.txt[1733,1889,1932,1999,3435]
school 5 CH3.txt[68,168,190,531,1684]
school 8 CH4.txt[961,1319,1358,1717,1804,2254,3193,3356]
school 6 CH5.txt[44,366,1223,4236,4655,4717]
school 7 CH6.txt[121,326,343,2391,4485,4850,5870]
scoop 1 CH5.txt[5004]
scrambled 1 CH5.txt[149]
scraping 1 CH5.txt[1925]
scraping 1 CH6.txt[1572]
scratching 1 CH2.txt[2244]
scratching 1 CH5.txt[445]
scratching 1 CH6.txt[3958]
screech 1 CH5.txt[2574]
scribbling 1 CH5.txt[2850]
scruff 1 CH5.txt[3566]
sea 4 CH3.txt[3313,3407,3794,3819]
sea 2 CH4.txt[1220,1310]
sea 1 CH5.txt[625]
sea 1 CH6.txt[5965]
seat 1 CH2.txt[2090]
seat 2 CH3.txt[1923,2756]
seat 1 CH5.txt[6652]
seat 5 CH6.txt[1613,2448,2559,3451,4804]
seats 3 CH5.txt[1165,1463,6389]
seats 1 CH6.txt[1599]
second 1 CH1.txt[429]
second 3 CH2.txt[441,2840,3426]
second 2 CH3.txt[1535,3592]
second 3 CH4.txt[571,901,3478]
second 5 CH5.txt[1210,2390,2741,3919,4219]
second 3 CH6.txt[1196,2809,5551]
secret 2 CH1.txt[145,4640]
secret 2 CH5.txt[3093,5321]
see 9 CH1.txt[673,785,922,2045,2459,3686,4055,4409,4491]
see 5 CH2.txt[866,891,2400,2627,2755]
see 6 CH3.txt[152,1204,1337,2251,2292,2867]
see 5 CH4.txt[560,1596,2103,2870,3250]
see 16 CH5.txt[603,741,812,1062,1689,1709,3246,3549,3625,3663,4000,4418,5502,5590,5691,6626]
see 12 CH6.txt[421,2246,2283,2648,3186,3614,4039,4176,4380,4535,5798,5837]
seeing 1 CH1.txt[2510]
seeing 1 CH5.txt[5386]
seek 1 CH5.txt[2783]
seemed 6 CH1.txt[602,2345,2370,2939,3074,4327]
seemed 4 CH2.txt[1836,2169,3315,3422]
seemed 4 CH3.txt[477,1868,2035,3424]
seemed 4 CH4.txt[764,912,1787,2644]
seemed 6 CH5.txt[262,1429,1787,3201,5316,5991]
seemed 5 CH6.txt[3051,3117,4748,5990,6234]
seems 2 CH1.txt[2807,2829]
seems 3 CH5.txt[699,2986,5401]
seen 8 CH1.txt[242,437,816,1086,1521,2192,2589,2956]
seen 2 CH2.txt[73,2977]
seen 2 CH5.txt[1986,2627]
seen 5 CH6.txt[2291,3408,4142,4325,4356]
seized 1 CH1.txt[1014]
seized 1 CH3.txt[2625]
seized 1 CH4.txt[3420]
seized 1 CH5.txt[1877]
selfprotection 1 CH5.txt[1352]
selfstirring 1 CH5.txt[2471]
sell 1 CH5.txt[1538]
selling 2 CH5.txt[2615,2618]
send 1 CH5.txt[6612]
send 3 CH6.txt[2122,2437,2443]
sense 2 CH1.txt[2717,3412]
sense 1 CH5.txt[1598]
september 1 CH3.txt[159]
september 1 CH4.txt[1378]
september 1 CH5.txt[6597]
september 1 CH6.txt[194]
servant 1 CH5.txt[4202]
set 2 CH1.txt[1315,2477]
set 2 CH3.txt[1044,1654]
set 1 CH4.txt[3229]
set 4 CH5.txt[1277,1367,1375,4899]
set 3 CH6.txt[586,4497,4546]
sets 1 CH5.txt[1235]
setting 1 CH5.txt[4253]
settled 1 CH5.txt[684]
seven 1 CH4.txt[3364]
seven 6 CH5.txt[3014,3079,3495,3571,5904,6258]
seven 2 CH6.txt[3430,5041]
seventeen 1 CH5.txt[3458]
several 2 CH1.txt[181,839]
several 1 CH3.txt[342]
several 1 CH4.txt[643]
several 1 CH5.txt[2579]
shabby 2 CH5.txt[1730,5197]
shake 1 CH1.txt[540]
shake 2 CH3.txt[2818,2822]
shake 1 CH5.txt[1964]
shake 1 CH6.txt[5298]
shaking 1 CH3.txt[1023]
shaking 2 CH5.txt[1934,2540]
shame 1 CH5.txt[701]
sharply 1 CH1.txt[1754]
sharply 2 CH3.txt[998,2586]
sharply 1 CH4.txt[708]
sharply 1 CH5.txt[5656]
she 26 CH1.txt[101,188,323,1104,1443,1746,1752,2553,2571,2582,2642,2669,2769,2792,2871,3033,3082,3091,3112,3121,3132,3160,3244,3732,3739,4600]
she 12 CH2.txt[223,297,645,921,1066,1073,1077,1229,1328,1424,1713,1825]
she 10 CH3.txt[58,311,321,425,533,1102,1105,2984,3277,3605]
she 7 CH4.txt[1700,1703,1744,1774,1788,1799,1839]
she 3 CH5.txt[3877,4603,5404]
she 21 CH6.txt[146,1248,1257,1306,1315,1938,2130,2140,2485,3378,3491,3523,4315,4331,4333,4365,4383,4521,4693,5563,5784]
shell 1 CH5.txt[6619]
shelves 1 CH3.txt[1707]
shelves 3 CH5.txt[4728,5832,5987]
sherry 1 CH5.txt[1744]
shining 1 CH5.txt[5362]
shivered 2 CH3.txt[3656,3857]
shivered 1 CH5.txt[6246]
shivered 1 CH6.txt[5927]
shone 1 CH1.txt[4323]
shone 1 CH5.txt[2450]
shook 1 CH1.txt[4312]
shook 1 CH2.txt[2766]
shook 1 CH3.txt[3087]
shook 1 CH4.txt[507]
shook 3 CH5.txt[2026,2193,5574]
shook 2 CH6.txt[2567,4149]
shop 1 CH2.txt[3363]
shop 13 CH5.txt[1674,1681,2008,2460,2564,3860,3904,4484,4721,5193,5236,5370,6271]
shop 1 CH6.txt[5116]
shopping 1 CH2.txt[3340]
shopping 1 CH5.txt[2532]
shops 7 CH5.txt[1498,1522,1568,2523,2614,2617,2671]
shorter 1 CH5.txt[2710]
shortly 1 CH3.txt[1449]
shortly 1 CH5.txt[4287]
shot 1 CH1.txt[3040]
shot 1 CH2.txt[1452]
shot 1 CH5.txt[6063]
should 2 CH1.txt[1259,2354]
should 1 CH2.txt[2344]
should 2 CH3.txt[1321,1325]
should 1 CH4.txt[855]
should 6 CH5.txt[1273,1281,3475,4333,4373,6178]
should 3 CH6.txt[646,930,2052]
shoulder 1 CH1.txt[3229]
shoulder 5 CH5.txt[1822,2437,5727,5734,6364]
shoulder 1 CH6.txt[6043]
shouldnt 1 CH2.txt[2154]
shouldnt 1 CH5.txt[4529]
shouldnt 1 CH6.txt[3185]
show 1 CH5.txt[4170]
show 4 CH6.txt[234,264,2712,4251]
showing 1 CH1.txt[2094]
showing 1 CH5.txt[2880]
shrink 1 CH5.txt[2442]
shuffling 1 CH5.txt[5636]
shut 1 CH3.txt[2655]
shut 1 CH4.txt[316]
shut 2 CH5.txt[19,3742]
shut 6 CH6.txt[37,542,1969,2087,2201,2663]
sick 2 CH3.txt[258,1811]
sick 2 CH5.txt[3317,3854]
sickle 1 CH5.txt[3469]
sickles 2 CH5.txt[2550,3460]
sickles 1 CH6.txt[3428]
side 3 CH4.txt[2297,2316,2922]
side 3 CH5.txt[756,1677,3545]
side 5 CH6.txt[5177,5643,5670,6002,6077]
sideways 1 CH1.txt[2773]
sideways 1 CH4.txt[3591]
sideways 1 CH5.txt[712]
sight 2 CH1.txt[466,2341]
sight 2 CH5.txt[2415,6647]
sight 2 CH6.txt[1987,6033]
sign 5 CH1.txt[417,517,527,2096,3828]
sign 3 CH2.txt[162,2716,2740]
sign 2 CH5.txt[2476,2567]
sign 1 CH6.txt[1497]
silence 1 CH1.txt[3811]
silence 1 CH3.txt[1468]
silence 1 CH4.txt[1214]
silence 1 CH5.txt[5313]
silent 1 CH1.txt[4533]
silent 1 CH3.txt[1245]
silent 1 CH4.txt[2806]
silent 1 CH5.txt[1852]
silent 1 CH6.txt[6165]
silk 1 CH5.txt[4753]
silver 3 CH1.txt[2206,2374,4445]
silver 9 CH5.txt[1265,2469,2622,2745,2826,3379,3459,4988,5699]
silver 3 CH6.txt[3355,3427,3683]
silvery 1 CH5.txt[5440]
similar 1 CH5.txt[1259]
simply 1 CH1.txt[3897]
simply 1 CH2.txt[735]
simply 1 CH4.txt[985]
simply 1 CH5.txt[3596]
sin 1 CH5.txt[2762]
since 2 CH1.txt[1537,3028]
since 3 CH2.txt[8,1388,3165]
since 1 CH4.txt[3347]
since 3 CH5.txt[1108,2309,5210]
single 1 CH1.txt[924]
single 1 CH3.txt[83]
single 4 CH5.txt[4687,5214,5250,6149]
singled 1 CH5.txt[6546]
sinking 1 CH1.txt[1878]
sinking 1 CH5.txt[78]
sir 6 CH1.txt[1241,3969,3990,3996,4150,4372]
sir 2 CH4.txt[307,1105]
sir 3 CH5.txt[2916,5603,5659]
sister 7 CH1.txt[175,192,195,1114,1124,1727,1750]
sister 2 CH3.txt[729,1570]
sister 1 CH4.txt[1697]
sister 1 CH5.txt[4607]
sister 2 CH6.txt[2430,2466]
sitting 5 CH1.txt[1368,2101,2601,3585,3875]
sitting 3 CH2.txt[1368,1539,1911]
sitting 1 CH3.txt[2917]
sitting 2 CH4.txt[1239,2814]
sitting 2 CH5.txt[1736,2842]
sitting 4 CH6.txt[579,2552,3564,6109]
sixteen 1 CH2.txt[1033]
sixteen 2 CH5.txt[2549,5595]
size 1 CH1.txt[3924]
size 2 CH5.txt[1364,4746]
sizes 1 CH5.txt[2464]
sky 3 CH1.txt[286,3844,4539]
sky 2 CH5.txt[618,6280]
sky 2 CH6.txt[5805,6084]
sleepily 1 CH5.txt[298]
sleeping 1 CH1.txt[1551]
sleeping 1 CH3.txt[2189]
sleeping 1 CH5.txt[6339]
slid 1 CH2.txt[2906]
slid 1 CH4.txt[689]
slid 1 CH5.txt[1669]
slid 5 CH6.txt[2542,2659,3294,4298,5080]
slight 1 CH5.txt[4272]
slight 1 CH6.txt[5213]
slimy 1 CH5.txt[4937]
slipped 1 CH1.txt[2469]
slipped 2 CH5.txt[3834,3937]
sloped 1 CH5.txt[3134]
slow 1 CH5.txt[1471]
slowly 5 CH2.txt[354,958,1354,2601,2603]
slowly 1 CH3.txt[934]
slowly 1 CH5.txt[3506]
slowly 1 CH6.txt[5345]
slug 1 CH2.txt[1262]
slug 1 CH5.txt[274]
slytherin 4 CH5.txt[4112,4652,4680,4697]
slytherin 1 CH6.txt[4786]
small 3 CH1.txt[120,234,4562]
small 2 CH2.txt[512,775]
small 3 CH3.txt[1636,2390,2443]
small 7 CH5.txt[326,1466,2210,2379,3150,3332,3432]
small 3 CH6.txt[1051,1644,3901]
smatter 1 CH5.txt[6566]
smell 2 CH3.txt[464,638]
smell 1 CH4.txt[673]
smell 1 CH5.txt[4926]
smile 2 CH1.txt[1224,2518]
smile 1 CH3.txt[1494]
smile 1 CH4.txt[266]
smile 1 CH5.txt[6517]
smile 2 CH6.txt[709,3902]
smiled 2 CH5.txt[1794,3387]
smiling 1 CH1.txt[2529]
smiling 1 CH2.txt[2206]
smiling 1 CH3.txt[3262]
smiling 1 CH4.txt[3240]
smiling 1 CH5.txt[3869]
smiling 1 CH6.txt[3291]
smoke 1 CH5.txt[3361]
smoke 1 CH6.txt[1532]
smoking 1 CH5.txt[1749]
smuggle 1 CH5.txt[4018]
snapped 2 CH1.txt[1006,1782]
snapped 2 CH2.txt[337,1274]
snapped 2 CH3.txt[556,1543]
snapped 1 CH4.txt[3690]
snapped 2 CH5.txt[221,5615]
snarled 1 CH2.txt[1329]
snarled 1 CH4.txt[2667]
snarled 1 CH5.txt[4961]
snatched 2 CH5.txt[5891,5924]
sneer 1 CH5.txt[4273]
sneeze 1 CH5.txt[5074]
snowy 1 CH2.txt[1212]
snowy 3 CH5.txt[2578,5123,6340]
snowywhite 1 CH5.txt[2663]
so 14 CH1.txt[103,1107,1161,1781,1851,2120,2163,2593,2791,2830,2946,3026,3904,4462]
so 7 CH2.txt[959,1702,1800,2280,2757,2830,3068]
so 11 CH3.txt[435,551,796,814,1256,2425,2717,2872,2989,3397,3771]
so 6 CH4.txt[150,742,749,1883,3576,3648]
so 19 CH5.txt[153,318,524,875,921,934,1092,1147,1501,1605,1615,1953,1959,2780,3855,4608,5489,6152,6399]
so 18 CH6.txt[19,221,1025,2243,2338,2718,2801,2820,3101,3696,4185,4207,4475,4829,5151,5475,5609,5999]
sofa 2 CH3.txt[3604,3697]
sofa 6 CH4.txt[210,332,611,1244,2744,2819]
sofa 2 CH5.txt[130,247]
soft 2 CH5.txt[2558,5327]
softly 1 CH5.txt[5540]
sold 3 CH5.txt[1570,5532,6145]
solid 2 CH5.txt[2446,4884]
solid 1 CH6.txt[1382]
solutions 1 CH5.txt[983]
some 4 CH1.txt[637,712,2338,3827]
some 2 CH2.txt[3145,3284]
some 4 CH3.txt[561,2711,3392,3509]
some 11 CH4.txt[407,650,971,2175,2178,2220,2522,2883,2902,2927,3400]
some 11 CH5.txt[1580,2280,2905,3165,3445,4355,4575,4784,4979,5301,5320]
some 7 CH6.txt[1585,1596,2886,3419,5267,5458,5634]
somehow 1 CH1.txt[3288]
somehow 1 CH3.txt[3786]
somehow 1 CH4.txt[3182]
somehow 3 CH5.txt[1607,4021,6401]
someone 1 CH1.txt[1168]
someone 3 CH3.txt[2024,2506,3867]
someone 1 CH5.txt[3036]
someone 2 CH6.txt[759,4889]
something 13 CH1.txt[419,585,722,987,1709,1794,1936,2305,2700,2787,3679,3761,4084]
something 2 CH2.txt[498,1253]
something 8 CH3.txt[973,1408,2145,2153,2169,2573,3192,3739]
something 4 CH4.txt[1025,2549,2587,2671]
something 4 CH5.txt[383,3643,4136,4182]
something 11 CH6.txt[908,1673,1923,2055,2068,2299,3205,4274,4861,4943,5680]
somewhere 1 CH2.txt[1996]
somewhere 1 CH3.txt[3183]
somewhere 1 CH4.txt[2952]
somewhere 3 CH5.txt[2920,5230,6006]
somewhere 1 CH6.txt[648]
soon 2 CH1.txt[296,4411]
soon 2 CH4.txt[664,1858]
soon 2 CH5.txt[5388,6628]
soon 3 CH6.txt[3928,4691,5264]
sorry 2 CH1.txt[1173,1238]
sorry 1 CH2.txt[1183]
sorry 6 CH4.txt[772,833,837,857,2387,2844]
sorry 7 CH5.txt[4301,4307,4401,4702,5528,6125,6492]
sorry 2 CH6.txt[1166,4136]
sort 1 CH4.txt[3379]
sort 4 CH5.txt[2088,4200,4226,4337]
sort 4 CH6.txt[1564,4337,5286,5313]
sorta 1 CH5.txt[4643]
soul 1 CH5.txt[1855]
sounding 2 CH1.txt[2973,3954]
sounding 2 CH5.txt[4306,5139]
sounding 1 CH6.txt[3154]
sparks 1 CH5.txt[6062]
speak 1 CH2.txt[3073]
speak 2 CH3.txt[444,2680]
speak 2 CH5.txt[3883,6305]
speak 2 CH6.txt[56,207]
special 1 CH1.txt[4578]
special 1 CH2.txt[1422]
special 2 CH5.txt[4852,6442]
sped 2 CH1.txt[809,4456]
sped 1 CH5.txt[762]
speed 3 CH5.txt[721,3508,3520]
speed 1 CH6.txt[2483]
spell 2 CH4.txt[2143,3310]
spell 2 CH5.txt[1571,2642]
spell 3 CH6.txt[4247,4427,4722]
spells 2 CH5.txt[778,1294]
spells 1 CH6.txt[4443]
spindly 3 CH5.txt[5251,5349,5976]
spleens 1 CH5.txt[2635]
spoke 2 CH1.txt[2506,3980]
spoke 2 CH2.txt[1236,3252]
spoke 1 CH3.txt[2582]
spoke 1 CH4.txt[1133]
spoke 2 CH5.txt[788,5674]
spoke 2 CH6.txt[318,6015]
spore 1 CH5.txt[1328]
sport 1 CH3.txt[123]
sport 2 CH5.txt[4614,4616]
sposed 1 CH5.txt[675]
spots 1 CH5.txt[6072]
spotted 2 CH1.txt[1362,4199]
spotted 1 CH4.txt[2375]
spotted 1 CH5.txt[5582]
springy 1 CH5.txt[5942]
squat 1 CH5.txt[3868]
stack 1 CH5.txt[2454]
stacked 2 CH5.txt[2630,4730]
stalactite 1 CH5.txt[3296]
stalactites 1 CH5.txt[3266]
stalagmite 1 CH5.txt[3293]
stalagmites 2 CH5.txt[3268,3297]
stammered 1 CH4.txt[1415]
stammered 1 CH5.txt[2071]
stammering 1 CH5.txt[5136]
stamps 1 CH5.txt[4749]
stand 1 CH1.txt[4210]
stand 2 CH5.txt[2350,3578]
standard 2 CH5.txt[1291,1363]
standing 2 CH1.txt[453,659]
standing 1 CH3.txt[3031]
standing 1 CH4.txt[104]
standing 5 CH5.txt[442,2672,3913,4158,5355]
standing 1 CH6.txt[5175]
stare 2 CH1.txt[1235,3119]
stare 2 CH4.txt[842,1083]
stare 1 CH5.txt[6138]
stared 2 CH1.txt[487,492]
stared 1 CH2.txt[2620]
stared 4 CH3.txt[758,1121,1618,3024]
stared 2 CH4.txt[1031,2037]
stared 2 CH5.txt[1020,1154]
stared 7 CH6.txt[387,1375,2717,2753,3434,3886,4897]
staring 2 CH1.txt[1926,2327]
staring 1 CH2.txt[2460]
staring 3 CH3.txt[918,2921,3863]
staring 1 CH5.txt[691]
staring 2 CH6.txt[3063,6166]
started 1 CH1.txt[4012]
started 2 CH2.txt[359,2898]
started 3 CH3.txt[32,3154,3680]
started 1 CH4.txt[2167]
started 2 CH5.txt[2925,3881]
started 3 CH6.txt[796,1384,1706]
starts 1 CH1.txt[279]
starts 1 CH5.txt[6527]
station 4 CH5.txt[1034,1121,6351,6636]
station 5 CH6.txt[218,512,610,883,2260]
steeply 1 CH5.txt[3135]
steered 1 CH5.txt[1718]
steering 1 CH1.txt[647]
steering 1 CH5.txt[3210]
stepped 1 CH1.txt[4256]
stepped 2 CH5.txt[2428,5239]
steps 2 CH5.txt[1014,2701]
steps 2 CH6.txt[1724,6323]
stern 1 CH1.txt[1403]
stern 1 CH5.txt[5627]
stern 1 CH6.txt[2367]
still 5 CH1.txt[1160,1426,1922,2103,2326]
still 1 CH2.txt[177]
still 5 CH3.txt[917,1134,1827,2661,3249]
still 8 CH4.txt[753,775,1576,2097,2831,2905,2949,3765]
still 11 CH5.txt[81,637,690,966,1176,1850,3850,5022,5640,6119,6564]
still 6 CH6.txt[2219,2594,2943,4214,5454,6336]
stitches 1 CH5.txt[1186]
stone 1 CH2.txt[2394]
stone 3 CH5.txt[1013,2700,3127]
stone 1 CH6.txt[6322]
stones 2 CH5.txt[2861,4740]
stood 2 CH1.txt[1281,4303]
stood 1 CH2.txt[2452]
stood 1 CH3.txt[3529]
stood 1 CH4.txt[2221]
stood 3 CH5.txt[3751,3929,4939]
stood 2 CH6.txt[5389,6189]
stool 1 CH5.txt[3933]
stools 1 CH5.txt[2845]
stop 1 CH1.txt[3332]
stop 2 CH3.txt[1051,2834]
stop 7 CH4.txt[1099,1102,1181,1602,1653,3327,3331]
stop 5 CH5.txt[474,904,3349,4406,5135]
stop 2 CH6.txt[1334,1446]
stopped 3 CH1.txt[970,3071,4440]
stopped 1 CH2.txt[1522]
stopped 1 CH3.txt[2884]
stopped 1 CH4.txt[1775]
stopped 3 CH5.txt[1781,3327,4455]
stopped 4 CH6.txt[622,761,1023,5910]
stores 1 CH5.txt[1525]
storm 4 CH3.txt[3339,3538,3559,3641]
storm 2 CH4.txt[177,1536]
storm 2 CH5.txt[120,649]
straight 1 CH1.txt[1166]
straight 1 CH5.txt[168]
straight 1 CH6.txt[1324]
strange 2 CH1.txt[38,291]
strange 3 CH2.txt[1652,3208,3320]
strange 1 CH3.txt[2324]
strange 3 CH4.txt[1826,2207,2672]
strange 2 CH5.txt[2621,6400]
strange 1 CH6.txt[3403]
strangelooking 1 CH5.txt[290]
strangely 1 CH1.txt[608]
strangely 1 CH5.txt[5261]
strangely 1 CH6.txt[617]
stranger 1 CH1.txt[1293]
stranger 1 CH4.txt[224]
stranger 1 CH5.txt[2754]
stream 1 CH5.txt[6057]
street 14 CH1.txt[225,411,798,2132,2285,2336,2392,2425,2481,3540,3825,4435,4460,4487]
street 2 CH2.txt[3314,3400]
street 5 CH5.txt[1018,1548,2408,2514,3973]
stretched 1 CH3.txt[1759]
stretched 1 CH4.txt[1287]
stretched 1 CH5.txt[346]
strict 1 CH5.txt[5269]
string 1 CH5.txt[278]
strings 1 CH5.txt[4957]
stroked 1 CH1.txt[1037]
stroked 1 CH4.txt[3549]
stroked 1 CH5.txt[3584]
strongly 1 CH3.txt[3450]
strongly 1 CH5.txt[4024]
stuck 1 CH5.txt[1450]
students 4 CH5.txt[1230,1280,1378,2313]
students 2 CH6.txt[1584,5943]
study 1 CH5.txt[4871]
studyin 1 CH5.txt[2268]
stuff 1 CH1.txt[1757]
stuff 2 CH3.txt[218,1548]
stuff 2 CH4.txt[982,3640]
stuff 3 CH5.txt[364,587,4938]
stung 1 CH5.txt[3213]
stupid 3 CH1.txt[638,1046,2694]
stupid 1 CH2.txt[2542]
stupid 2 CH3.txt[94,555]
stupid 1 CH5.txt[4091]
stupid 3 CH6.txt[805,4404,4721]
subject 1 CH1.txt[1891]
subject 1 CH5.txt[2318]
substance 1 CH5.txt[5759]
such 3 CH1.txt[47,1049,3116]
such 1 CH3.txt[2849]
such 1 CH4.txt[79]
such 2 CH5.txt[89,5800]
such 2 CH6.txt[4463,4907]
sucked 1 CH5.txt[3609]
sudden 1 CH5.txt[6035]
suddenly 6 CH1.txt[1548,2164,2320,3736,4174,4467]
suddenly 2 CH2.txt[2071,2596]
suddenly 1 CH3.txt[969]
suddenly 4 CH4.txt[1095,1684,1939,2369]
suddenly 5 CH5.txt[61,1847,4150,5626,5808]
suddenly 5 CH6.txt[1228,1800,2364,2765,6059]
summat 2 CH4.txt[396,528]
summat 1 CH5.txt[835]
sun 1 CH2.txt[31]
sun 2 CH5.txt[2449,6275]
sunlight 3 CH5.txt[118,629,3755]
supple 1 CH5.txt[6027]
supply 1 CH5.txt[4977]
suppose 4 CH1.txt[1850,2821,3429,3449]
suppose 1 CH2.txt[1343]
suppose 4 CH4.txt[2051,2284,2440,3573]
suppose 3 CH5.txt[2129,4423,5613]
suppose 3 CH6.txt[4663,4773,4881]
sure 3 CH1.txt[1055,1077,1375]
sure 2 CH2.txt[2685,3128]
sure 3 CH3.txt[2055,2193,2314]
sure 1 CH4.txt[3020]
sure 3 CH5.txt[3655,6249,6413]
sure 2 CH6.txt[532,4423]
surname 1 CH5.txt[4383]
surprised 1 CH1.txt[3619]
surprised 1 CH2.txt[2530]
surprised 1 CH5.txt[3121]
swallowed 1 CH1.txt[3713]
swallowed 1 CH2.txt[1316]
swallowed 2 CH5.txt[5272,6196]
swarthy 1 CH5.txt[2716]
swelling 1 CH5.txt[163]
swimming 1 CH3.txt[505]
swimming 1 CH5.txt[2329]
swishing 1 CH4.txt[3451]
swishing 1 CH5.txt[6049]
swishy 1 CH5.txt[5419]
switch 1 CH5.txt[1319]
swooped 1 CH1.txt[2137]
swooped 1 CH5.txt[178]
symbols 1 CH5.txt[4758]
table 3 CH2.txt[416,825,912]
table 4 CH3.txt[594,662,2545,2961]
table 1 CH5.txt[6505]
tags 1 CH5.txt[1276]
tail 1 CH1.txt[2179]
tail 2 CH2.txt[2712,2737]
tail 1 CH4.txt[3508]
tail 2 CH5.txt[5767,6158]
tail 2 CH6.txt[469,5580]
take 1 CH1.txt[3703]
